,target,text,time,sia_positive,sia_negative,sia_neutral,sia_compound
120,1,"RT @latimes: About 3,300 homes were under mandatory evacuation orders as the fire rapidly spread in the early morning hours. https://t.co/i\xe2\x80\xa6'",10/29/2019 22:36,0.057,0.106,0.837,-0.2732
121,1,"Cliff Schoenberg marked himself bored during The Getty Fire in Los Angeles, California, USA.'",10/29/2019 22:36,0.0,0.273,0.727,-0.5423
122,1,"Hoping and Praying for everyone.\n\nGetty fire: 'Extreme' warning issued ahead of hurricane-force Santa Ana winds https://t.co/8EI5nYhdBr""",10/29/2019 22:36,0.24,0.217,0.543,0.128
123,1,RT @TMZ: John Cena Donating $500k to Help Battle California Fires https://t.co/L4JuOpmOJG',10/29/2019 22:36,0.176,0.17,0.654,0.0258
124,1,RT @shani_o: Housekeepers show up to work in fire evacuation zones because their bosses neglected to tell them they evacuated https://t.co/\xe2\x80\xa6',10/29/2019 22:36,0.0,0.234,0.766,-0.7003
125,1,"On Fire And In The Dark, California Braces For More Dangerous Winds https://t.co/l8wzrzTy4b https://t.co/NBw5cXaWQN'",10/29/2019 22:36,0.0,0.326,0.674,-0.6997
126,1,"Since 1972, the amount of the state\xe2\x80\x99s land that burns every year has increased fivefold, a trend very likely driven\xe2\x80\xa6 https://t.co/G2KJvhv93U'",10/29/2019 22:36,0.1,0.0,0.9,0.2732
127,1,"@realDonaldTrump Any concerns about thousands of Americans being displaced in California? You know, they\xe2\x80\x99re still p\xe2\x80\xa6 https://t.co/S4oCQLLCOl'",10/29/2019 22:35,0.0,0.0,1.0,0.0
128,1,RT @kristie_valerie: Today in print: the Getty Fire and the story behind the internet\xe2\x80\x99s founding at UCLA. \n\nFeeling especially proud of the\xe2\x80\xa6',10/29/2019 22:35,0.132,0.093,0.775,0.2484
129,1,RT @nowthisnews: \xe2\x80\x98I need to get the f*ck out of here.\xe2\x80\x99 \xe2\x80\x94\xc2\xa0This harrowing footage shows the intensity of the Getty Fire in Los Angeles. Exper\xe2\x80\xa6',10/29/2019 22:35,0.0,0.091,0.909,-0.34
130,1,"RT @YaelSwerdlow: Getty fire: 'Extreme' warning issued ahead of hurricane-force Santa Ana winds https://t.co/siKs7k9oe0""",10/29/2019 22:35,0.0,0.286,0.714,-0.5859
131,1,"RT @CurbedLA: The latest on the #GettyFire:\n\n\xe2\x80\xa2 It grew by 40 acres overnight, and firefighters put out flare-ups on Tigertail Road.\n\n\xe2\x80\xa2 Cont\xe2\x80\xa6'",10/29/2019 22:35,0.0,0.0,1.0,0.0
132,1,"RT @TIME: The Getty Fire burns off the freeway in Los Angeles, where many are being evacuated https://t.co/s2eosisXlO https://t.co/iTMEfoWd\xe2\x80\xa6'",10/29/2019 22:35,0.058,0.117,0.825,-0.296
133,1,Business Insider - LA firefighters are racing against Santa Ana winds to control a fire near the Getty museum. Here\xe2\x80\xa6 https://t.co/XuyMyZ75MJ',10/29/2019 22:35,0.0,0.118,0.882,-0.34
134,1,"Getty fire: 'Extreme' warning issued ahead of hurricane-force Santa Ana winds https://t.co/DnCubQxdYx""",10/29/2019 22:35,0.0,0.324,0.676,-0.5859
135,1,"Millions brace for blackouts, hurricane-force winds as California's Kincade, Getty fires rage https://t.co/5Bx6r6xdIJ via @usatoday""",10/29/2019 22:34,0.0,0.205,0.795,-0.5574
136,1,Today in print: the Getty Fire and the story behind the internet\xe2\x80\x99s founding at UCLA. \n\nFeeling especially proud of\xe2\x80\xa6 https://t.co/6Fu5mIzrGF',10/29/2019 22:34,0.143,0.101,0.757,0.2484
137,0,RT @hollyrpeete: \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x9a\x92\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\x9a\x92\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\x9a\x92\n#Repost @lifewithweather\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\n\xe2\x80\x98Getty Fire\xe2\x80\x99 burning off the 405 highway in Los Angeles around 3AM today \xf0\x9f\x99\x8f \xf0\x9f\x8e\xa5 P\xe2\x80\xa6',10/29/2019 22:34,0.0,0.0,1.0,0.0
